Inference for Bugs model at "model_0.bug", fit using jags,
 3 chains, each with 2e+05 iterations (first 1e+05 discarded), n.thin = 100
 n.sims = 3000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%
L0_mean       58.233   1.903   54.356   57.042   58.215   59.489
L_hat[7,37]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,38]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,38]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,38]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,38]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,38]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,38]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,38]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,39]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,39]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,39]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,39]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,39]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,39]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,39]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,40]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,40]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,40]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,40]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,40]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,40]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,40]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,41]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,41]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,41]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,41]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,41]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,41]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,41]  135.316   2.033  131.227  133.979  135.305  136.749
L_pred[1]     58.233   1.903   54.356   57.042   58.215   59.489
L_pred[2]     58.705   1.885   54.875   57.523   58.685   59.941
L_pred[3]     59.177   1.867   55.394   58.005   59.158   60.410
L_pred[4]     59.650   1.849   55.893   58.490   59.629   60.874
L_pred[5]     60.122   1.832   56.406   58.968   60.099   61.339
L_pred[6]     60.594   1.814   56.900   59.452   60.566   61.799
L_pred[7]     61.065   1.797   57.401   59.936   61.037   62.265
L_pred[8]     61.537   1.780   57.898   60.421   61.509   62.728
L_pred[9]     62.008   1.763   58.396   60.902   61.981   63.192
L_pred[10]    62.480   1.746   58.908   61.385   62.448   63.660
L_pred[11]    62.951   1.729   59.391   61.865   62.924   64.128
L_pred[12]    63.422   1.713   59.905   62.341   63.395   64.583
L_pred[13]    63.893   1.696   60.409   62.820   63.863   65.044
L_pred[14]    64.364   1.680   60.927   63.304   64.325   65.500
L_pred[15]    64.835   1.664   61.425   63.788   64.794   65.955
L_pred[16]    65.305   1.648   61.933   64.266   65.266   66.413
L_pred[17]    65.776   1.632   62.453   64.746   65.742   66.873
L_pred[18]    66.246   1.617   62.956   65.223   66.216   67.334
L_pred[19]    66.716   1.602   63.456   65.702   66.685   67.791
L_pred[20]    67.186   1.586   63.947   66.175   67.156   68.245
L_pred[21]    67.656   1.571   64.456   66.653   67.629   68.705
L_pred[22]    68.126   1.556   64.950   67.131   68.098   69.165
L_pred[23]    68.596   1.542   65.439   67.612   68.570   69.629
L_pred[24]    69.065   1.527   65.928   68.090   69.032   70.087
L_pred[25]    69.534   1.513   66.423   68.577   69.498   70.552
L_pred[26]    70.004   1.499   66.922   69.055   69.962   71.010
